Number,Case,Velocity
5,5,0.01997497
5,5,0.02035477
5,5,0.05745269
5,5,0.008376067
5,5,0.004786054
5,5,0.01920212
5,5,0.02175162
5,5,0.04018999
5,5,0.008460523
5,5,0.05173028
5,5,0.0127182
5,5,0.03711015
5,5,0.01742361
5,5,0.01695139
5,5,0.03326875
5,5,0.01684807
5,5,0.03152041
5,5,0.01119477
5,5,0.02670337
5,5,0.0165635
5,5,0.02105451
5,5,0.04194177
5,5,0.0062464
5,5,0.009576936
5,5,0.006873237
5,5,0.01573099
5,5,0.00666372
5,5,0.008786505
5,5,0.008109002
5,5,0.007509819
5,5,0.01118585
5,5,0.007705755
5,5,0.007630944
5,5,0.008417028
5,5,0.01513152
5,5,0.005058508
5,5,0.005230981
5,5,0.01312211
5,5,0.002863383
5,5,0.007167513
5,5,0.01315579
5,5,0.02530531
5,5,0.0129508
5,5,0.01162694
5,5,0.02178437
5,5,0.008180173
5,5,0.01742889
5,5,0.007995781
5,5,0.0369586
5,5,0.0170722
5,5,0.03803407
5,5,0.09761374
5,5,0.06779078
5,6,0.09398165
5,6,0.09763706
5,6,0.1213568
5,6,0.04897526
5,6,0.2471874
5,6,0.2427776
5,6,0.1613588
5,6,0.1442744
5,6,0.02096696
5,6,0.04869561
5,6,0.07520517
5,6,0.04026078
5,6,0.04456153
5,6,0.01074977
5,6,0.03483823
5,6,0.01673658
5,6,0.02143474
5,6,0.02931682
5,6,0.01013132
5,6,0.04752681
5,6,0.02283185
5,6,0.06718402
5,6,0.01996825
5,6,0.02334546
5,6,0.007108826
5,6,0.006546611
5,6,0.01723004
5,6,0.009776349
5,6,0.02146544
5,6,0.01401087
5,6,0.02508225
5,6,0.01172559
5,6,0.009466023
5,6,0.01949377
5,6,0.01430134
5,6,0.02090789
5,6,0.007797781
5,6,0.02575152
5,6,0.01356173
5,6,0.01816284
5,6,0.01185602
5,6,0.0059384
5,6,0.01893127
5,6,0.01172606
5,6,0.04355186
5,6,0.01093828
5,6,0.02437486
5,6,0.003732685
5,6,0.04415471
